=== SCALING LAW RESULTS ===
# Model types: dd, dec, sed
# Param widths: 0.5M, 0.6M, 2.4M, 2.5M, 5M, 5.3M, 14.7M, 15M, 28.9M, 30M
# Token budgets: 10M, 50M, 100M, 300M, 600M
# Total runs found: 80

--- SUMMARY ---
name	model_type	non_emb_params	tokens	flops	loss	ppl	dim	enc_layers	dec_layers	steps	total_params	time_sec
dec_5.3M_10Mtok	dec	5308416	10000000	3.185e+14	9.860400	19155.7900	192	8	4	9	11604864	63.0
dec_5.3M_300Mtok	dec	5308416	300000000	9.555e+15	6.733700	840.2200	192	8	4	286	11604864	1449.6
dec_5.3M_50Mtok	dec	5308416	50000000	1.593e+15	8.118600	3356.2800	192	8	4	47	11604864	245.9
dec_5.3M_600Mtok	dec	5308416	600000000	1.911e+16	6.143600	465.7100	192	8	4	572	11604864	2890.0
sed_0.6M_100Mtok	sed	589824	100000000	3.539e+14	7.699400	2207.0400	64	8	4	95	2688832	596.7
sed_0.6M_10Mtok	sed	589824	10000000	3.539e+13	9.853000	19015.9800	64	8	4	9	2688832	98.0
sed_0.6M_300Mtok	sed	589824	300000000	1.062e+15	6.972500	1066.9000	64	8	4	286	2688832	1742.7
sed_0.6M_50Mtok	sed	589824	50000000	1.769e+14	8.108600	3322.9400	64	8	4	47	2688832	307.0
sed_0.6M_600Mtok	sed	589824	600000000	2.123e+15	6.357100	576.5600	64	8	4	572	2688832	3458.1
sed_14.7M_100Mtok	sed	14745600	100000000	8.847e+15	7.654600	2110.4000	320	8	4	95	25240640	596.7
sed_14.7M_10Mtok	sed	14745600	10000000	8.847e+14	9.826700	18522.3500	320	8	4	9	25240640	98.0
sed_14.7M_300Mtok	sed	14745600	300000000	2.654e+16	6.667700	786.5600	320	8	4	286	25240640	1742.7
sed_14.7M_50Mtok	sed	14745600	50000000	4.424e+15	8.101500	3299.3000	320	8	4	47	25240640	307.0
sed_14.7M_600Mtok	sed	14745600	600000000	5.308e+16	6.000800	403.7400	320	8	4	572	25240640	3458.1
sed_2.4M_100Mtok	sed	2359296	100000000	1.416e+15	7.675400	2154.7500	128	8	4	95	6557312	596.7
sed_2.4M_10Mtok	sed	2359296	10000000	1.416e+14	9.834500	18666.7000	128	8	4	9	6557312	98.0
sed_2.4M_300Mtok	sed	2359296	300000000	4.247e+15	6.868800	961.8000	128	8	4	286	6557312	1742.7
sed_2.4M_50Mtok	sed	2359296	50000000	7.078e+14	8.086400	3249.8200	128	8	4	47	6557312	307.0
sed_2.4M_600Mtok	sed	2359296	600000000	8.493e+15	6.094400	443.3600	128	8	4	572	6557312	3458.1
sed_28.9M_100Mtok	sed	28901376	100000000	1.734e+16	7.666100	2134.7100	448	8	4	95	43594432	596.7
sed_28.9M_10Mtok	sed	28901376	10000000	1.734e+15	9.833700	18651.0200	448	8	4	9	43594432	98.0
sed_28.9M_300Mtok	sed	28901376	300000000	5.202e+16	6.636900	762.7500	448	8	4	286	43594432	1742.7
sed_28.9M_50Mtok	sed	28901376	50000000	8.670e+15	8.108700	3323.3300	448	8	4	47	43594432	307.0
sed_28.9M_600Mtok	sed	28901376	600000000	1.040e+17	5.964700	389.4400	448	8	4	572	43594432	3458.1
sed_5.3M_100Mtok	sed	5308416	100000000	3.185e+15	7.670300	2143.7800	192	8	4	95	11605440	596.7
sed_5.3M_10Mtok	sed	5308416	10000000	3.185e+14	9.838100	18734.9500	192	8	4	9	11605440	98.0
sed_5.3M_300Mtok	sed	5308416	300000000	9.555e+15	6.711900	822.1400	192	8	4	286	11605440	1742.7
sed_5.3M_50Mtok	sed	5308416	50000000	1.593e+15	8.093300	3272.3100	192	8	4	47	11605440	307.0
sed_5.3M_600Mtok	sed	5308416	600000000	1.911e+16	5.973800	393.0100	192	8	4	572	11605440	3458.1

--- LOSS GRID: Double_Decoder (dd) ---
params             10M         50M        100M        300M        600M
----------------------------------------------------------------------
0.5M            9.8626         ---         ---         ---         ---
0.6M            9.8593      8.1042      7.7076      7.0962      6.4474
2.4M            9.8554      8.0966      7.7087      6.7925      6.3013
2.5M            9.8435         ---         ---         ---         ---
5M              9.8692         ---         ---         ---         ---
5.3M            9.8725      8.0918      7.7147      6.7819      6.2229
14.7M           9.8283      8.0941      7.7068      6.6985      6.0351
15M             9.8560         ---         ---         ---         ---
28.9M           9.8517      8.0833      7.7066      6.6971      5.9114
30M             9.8409         ---         ---         ---         ---

--- LOSS GRID: StandardEncDec (sed) ---
params             10M         50M        100M        300M        600M
----------------------------------------------------------------------
0.5M               ---         ---         ---         ---         ---
0.6M            9.8530      8.1086      7.6994      6.9725      6.3571
2.4M            9.8345      8.0864      7.6754      6.8688      6.0944
2.5M               ---         ---         ---         ---         ---
5M                 ---         ---         ---         ---         ---
5.3M            9.8381      8.0933      7.6703      6.7119      5.9738
14.7M           9.8267      8.1015      7.6546      6.6677      6.0008
15M                ---         ---         ---         ---         ---
28.9M           9.8337      8.1087      7.6661      6.6369      5.9647
30M                ---         ---         ---         ---         ---

--- LOSS GRID: DecoderOnly (dec) ---
params             10M         50M        100M        300M        600M
----------------------------------------------------------------------
0.5M               ---         ---         ---         ---         ---
0.6M            9.8709      8.1002      7.6753      6.9895      6.3879
2.4M            9.8649      8.1079      7.7028      6.7785      6.1950
2.5M               ---         ---         ---         ---         ---
5M                 ---         ---         ---         ---         ---
5.3M            9.8604      8.1186      7.7038      6.7337      6.1436
14.7M           9.8396      8.1039      7.6877      6.7095      5.9847
15M                ---         ---         ---         ---         ---
28.9M           9.8676      8.1237      7.6842      6.6638      5.9602
30M                ---         ---         ---         ---         ---

--- FLOPS GRID (params × tokens) ---
params             10M         50M        100M        300M        600M
----------------------------------------------------------------------
0.5M          2.95e+13    1.47e+14    2.95e+14    8.85e+14    1.77e+15
0.6M          3.54e+13    1.77e+14    3.54e+14    1.06e+15    2.12e+15
2.4M          1.42e+14    7.08e+14    1.42e+15    4.25e+15    8.49e+15
2.5M          1.53e+14    7.67e+14    1.53e+15    4.60e+15    9.20e+15
5M            3.19e+14    1.59e+15    3.19e+15    9.56e+15    1.91e+16
5.3M          3.19e+14    1.59e+15    3.19e+15    9.56e+15    1.91e+16
14.7M         8.85e+14    4.42e+15    8.85e+15    2.65e+16    5.31e+16
15M           8.97e+14    4.48e+15    8.97e+15    2.69e+16    5.38e+16
28.9M         1.73e+15    8.67e+15    1.73e+16    5.20e+16    1.04e+17
30M           1.80e+15    9.02e+15    1.80e+16    5.41e+16    1.08e+17
